TIMESTAMP,ACTUAL_DELIVERY_MINUTES - ESTIMATED_DELIVERY_MINUTES,ITEM_COUNT,USER_LAT,USER_LONG,VENUE_LAT,VENUE_LONG,ESTIMATED_DELIVERY_MINUTES,ACTUAL_DELIVERY_MINUTES,CLOUD_COVERAGE,TEMPERATURE,WIND_SPEED,PRECIPITATION,CUACA,tanggal,Hari,Jam,distance,VANUE_lOCATION,USER_LOCATION,VANUE,USER
2020-08-01 10:57:00,-4,6,60.193,24.966,60.192,24.952,34,30,0.0,17.8,3.15193,0.0,,1,5,10,0.7817787960732522,"60.192, 24.952","60.193, 24.966",VANUE 42,Customer 67
2020-08-01 10:59:00,1,7,60.157,24.947,60.169,24.945,37,38,0.0,17.8,3.15193,0.0,,1,5,10,1.3389187983246955,"60.169, 24.945","60.157, 24.947",VANUE 44,Customer 68
2020-08-01 10:59:00,6,2,60.187,24.957,60.195,24.951,32,38,0.0,17.8,3.15193,0.0,,1,5,10,0.9493746384708551,"60.195, 24.951","60.187, 24.957",VANUE 22,Customer 69
2020-08-01 11:02:00,0,4,60.17,24.926,60.169,24.933,29,29,0.0,18.9,3.40731,0.0,,1,5,11,0.4028369450483695,"60.169, 24.933","60.17, 24.926",VANUE 17,Customer 70
2020-08-01 11:05:00,-11,4,60.184,24.953,60.186,25.007,40,29,0.0,18.9,3.40731,0.0,,1,5,11,2.993728582722515,"60.186, 25.007","60.184, 24.953",VANUE 49,Customer 71
2020-08-01 11:06:00,-1,3,60.163,24.946,60.163,24.941,32,31,0.0,18.9,3.40731,0.0,,1,5,11,0.2766164142228329,"60.163, 24.941","60.163, 24.946",VANUE 50,Customer 72
2020-08-01 11:06:00,-2,5,60.171,24.955,60.162,24.928,35,33,0.0,18.9,3.40731,0.0,,1,5,11,1.7978484816020053,"60.162, 24.928","60.171, 24.955",VANUE 51,Customer 28
2020-08-01 11:11:00,5,3,60.185,24.919,60.185,24.941,31,36,0.0,18.9,3.40731,0.0,,1,5,11,1.2162973307333789,"60.185, 24.941","60.185, 24.919",VANUE 52,Customer 73
2020-08-01 11:12:00,4,1,60.183,24.959,60.185,24.941,30,34,0.0,18.9,3.40731,0.0,,1,5,11,1.019728295331274,"60.185, 24.941","60.183, 24.959",VANUE 52,Customer 74
2020-08-01 11:16:00,6,3,60.169,24.929,60.171,24.947,34,40,0.0,18.9,3.40731,0.0,,1,5,11,1.020142378980716,"60.171, 24.947","60.169, 24.929",VANUE 53,Customer 75
2020-08-01 11:17:00,1,3,60.195,24.959,60.193,24.958,22,23,0.0,18.9,3.40731,0.0,,1,5,11,0.22915527473934588,"60.193, 24.958","60.195, 24.959",VANUE 54,Customer 76
2020-08-01 11:23:00,4,1,60.189,24.955,60.195,24.957,26,30,0.0,18.9,3.40731,0.0,,1,5,11,0.6762664291056667,"60.195, 24.957","60.189, 24.955",VANUE 55,Customer 77
2020-08-01 11:23:00,-3,1,60.171,24.929,60.173,24.929,26,23,0.0,18.9,3.40731,0.0,,1,5,11,0.22238985328995242,"60.173, 24.929","60.171, 24.929",VANUE 56,Customer 78
2020-08-01 11:24:00,8,5,60.16,24.942,60.169,24.941,30,38,0.0,18.9,3.40731,0.0,,1,5,11,1.0022822131482763,"60.169, 24.941","60.16, 24.942",VANUE 40,Customer 79
2020-08-01 11:26:00,-2,1,60.186,24.92,60.189,24.917,24,22,0.0,18.9,3.40731,0.0,,1,5,11,0.372536889193001,"60.189, 24.917","60.186, 24.92",VANUE 16,Customer 80
2020-08-01 11:26:00,8,2,60.158,24.922,60.167,24.938,30,38,0.0,18.9,3.40731,0.0,,1,5,11,1.3360626749592028,"60.167, 24.938","60.158, 24.922",VANUE 27,Customer 81
2020-08-01 11:26:00,20,2,60.189,24.915,60.181,24.925,29,49,0.0,18.9,3.40731,0.0,,1,5,11,1.04736469559498,"60.181, 24.925","60.189, 24.915",VANUE 57,Customer 82
2020-08-01 11:27:00,-5,1,60.193,24.955,60.188,24.983,33,28,0.0,18.9,3.40731,0.0,,1,5,11,1.6445834575185705,"60.188, 24.983","60.193, 24.955",VANUE 58,Customer 83
2020-08-01 11:28:00,-5,1,60.17,24.92,60.168,24.93,30,25,0.0,18.9,3.40731,0.0,,1,5,11,0.5961644518682437,"60.168, 24.93","60.17, 24.92",VANUE 10,Customer 84
2020-08-01 11:29:00,-12,1,60.185,24.947,60.188,24.96,26,14,0.0,18.9,3.40731,0.0,,1,5,11,0.7923330747602316,"60.188, 24.96","60.185, 24.947",VANUE 59,Customer 85
2020-08-01 11:31:00,16,4,60.184,24.96,60.178,24.949,25,41,0.0,18.9,3.40731,0.0,,1,5,11,0.9028012724680152,"60.178, 24.949","60.184, 24.96",VANUE 5,Customer 86
2020-08-01 11:36:00,0,1,60.185,24.943,60.169,24.945,34,34,0.0,18.9,3.40731,0.0,,1,5,11,1.782553233493752,"60.169, 24.945","60.185, 24.943",VANUE 44,Customer 87
2020-08-01 11:39:00,1,1,60.155,24.914,60.165,24.933,31,32,0.0,18.9,3.40731,0.0,,1,5,11,1.5302069017967328,"60.165, 24.933","60.155, 24.914",VANUE 60,Customer 88
2020-08-01 11:41:00,-7,3,60.163,24.913,60.159,24.918,26,19,0.0,18.9,3.40731,0.0,,1,5,11,0.5237890237064072,"60.159, 24.918","60.163, 24.913",VANUE 61,Customer 89
